"group","subj","sex","age","year","month","sample_number","date","time","Cr","SG","month.name","mum","bday","weaning","mid","neo_value","CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","neo_sg"
"twn","pam","F",2.52156057494867,2015,9,107,2015-09-30,2022-02-22 09:46:00,0.85,36,"sep","park",2013-03-08,1.796030116,2015-09-15,9.657,20.4,8,40,2018-04-25,"",0.74448063698878,287.577980456026
"twn","davi","F",2.01505817932923,2015,9,108,2015-09-30,2022-02-22 10:15:00,0.57,18,"sep","didg",2013-09-09,1.349760438,2015-09-15,3.176,2,8,40,2018-04-25,"",1.48896127397756,189.157640246109
"gn","mole","F",2.49691991786448,2015,10,109,2015-10-01,2022-02-22 09:52:00,0.09,9,"oct","merl",2013-04-16,1.467488022,2015-10-15,5.819,9.6,6,20,2018-01-26,"",2.97792254795512,346.570626131017
"twn","davi","F",2.09719370294319,2015,10,110,2015-10-01,2022-02-22 12:30:00,0.36,24,"oct","didg",2013-09-09,1.349760438,2015-10-15,7,14.4,8,40,2018-04-25,"",1.11672095548317,312.681867535288
"twn","allo","M",2.5160848733744,2015,10,111,2015-10-01,2022-02-22 10:16:00,0.07,9,"oct","ambe",2013-04-09,3.394934976,2015-10-15,6.628,4.9,18,10,2018-05-15,"",2.97792254795512,197.376706478465
"tws","bong","M",2.4476386036961,2015,10,112,2015-10-01,2022-02-22 10:22:00,0.14,14,"oct","bonn",2013-05-04,1.971252567,2015-10-15,3.597,7.4,8,40,2018-04-25,"",1.91437878082829,275.440818985575
"tws","dame","F",3.7700205338809,2015,10,113,2015-10-01,2022-02-22 11:24:00,0.41,37,"oct","dixi",2012-01-07,1.869952088,2015-10-15,19.655,4.8,8,40,2018-04-25,"",0.724359538691786,569.491469319482
"twn","keny","M",5.68377823408624,2015,10,114,2015-10-01,2022-02-22 14:24:00,0.25,27,"oct","kayl",2010-02-07,2.453114305,2015-10-15,12.938,5.7,19,40,2018-05-16,"",0.992640849318374,513.711492339245
"gn","ropa","M",5.81793292265572,2015,10,115,2015-10-01,2022-02-22 14:52:00,0.6,40,"oct","robe",2009-12-20,3.529089665,2015-10-15,26.695,6.7,1,40,2018-01-11,"",0.670032573289902,715.460781758958
"gn","mayh","F",5.58795345653662,2015,10,116,2015-10-01,2022-02-22 15:06:00,0.56,40,"oct","mixu",2010-03-14,2.214921287,2015-10-15,13.142,1.5,1,40,2018-01-11,"",0.670032573289902,352.222723127036
"gn","pira","M",4.71457905544148,2015,10,117,2015-10-01,2022-02-22 14:51:00,0.88,44,"oct","pinc",2011-01-27,1.35797399,2015-10-15,17.415,11.7,5,40,2018-01-25,"",0.609120521172638,424.31335504886
"gn","dext","M",2.55989048596851,2015,10,118,2015-10-02,2022-02-22 12:30:00,0.44,27,"oct","dj",2013-03-24,1.80698152,2015-10-15,NA,NA,NA,NA,NA,NA,0.992640849318374,NA
