subj,group,year,month,sex,age,mrank,log2_neo,log2_cp_tar,cr_resid,sample_interval
burn,tws,2016,1,F,6.877481177275839,0.13,8.868104563827874,14.525901510431085,-0.24035678441732772,5
tesl,tws,2016,1,F,2.869267624914442,1,9.731496314669243,12.605745260294391,-0.049891038074961466,4
renl,gn,2016,1,M,2.7186858316221767,0.263,8.789939519507334,13.2338362214009,-0.1246013608945813,8
stel,gn,2016,1,F,2.6913073237508556,0.684,9.073628535206996,13.45491201208978,-0.015265922400425246,4
dubl,tws,2016,1,M,6.863791923340178,0.957,9.785608849389078,12.489562489670584,0.2047340775995748,6
stel,gn,2016,2,F,2.7761806981519506,0.684,10.217749529228438,13.534876772354552,-0.09967564913109081,1
bike,tws,2016,2,M,6.891170431211499,0.261,9.38814290515943,13.347969697983947,0.15075642777605824,18
brog,tws,2016,2,F,7.080082135523614,0.826,10.275553438346746,14.097629725283344,0.33069542160003784,1
burn,tws,2016,2,F,6.962354551676934,0.13,8.847668429760121,14.395078543207362,0.7192739861290275,9
tatu,tws,2016,2,M,6.959616700889802,1,9.70120671695514,13.86613142960513,0.2796432155826723,8
tesl,tws,2016,2,F,2.954140999315537,1,8.869318014693478,13.080869426248876,-0.2674742028583585,14
mend,gn,2016,2,F,6.031485284052019,0.737,9.453630544571434,12.93011733913411,0.11252579714164161,9
brog,tws,2016,2,F,7.080082135523614,0.826,11.00340512097854,14.414717559582696,0.47964321558267226,13
spad,gn,2016,2,F,6.075290896646133,0.368,8.936794320233107,11.201312004939945,0.08473407759957473,16
peke,tws,2016,2,M,5.127994524298426,0.174,9.216902239425842,13.47105175655847,0.013589308377493404,13
stel,gn,2016,2,F,2.7761806981519506,0.684,9.471943237722916,10.608945847438257,-0.24747420285835847,39
ropa,gn,2016,2,M,6.154688569472964,0.263,8.348947754718033,12.92667711657701,-0.22924357222394176,15
dame,tws,2016,2,F,4.1067761806981515,0.957,10.709591487329568,11.683087787682124,0.19998667844395956,7
bong,tws,2016,2,M,2.784394250513347,0.696,8.769679414964909,11.906445514629603,-0.4061140446924065,8
brav,tws,2016,2,M,2.8884325804243667,0.826,9.825910214113648,12.46868101824876,-0.019675649131090964,12
boyd,tws,2016,2,F,3.865845311430527,0.217,8.50204257821148,12.685781627609572,-0.049891038074961466,7
dubl,tws,2016,2,M,6.9486652977412735,0.957,8.922661145234738,13.68782034629165,0.47570527637610444,7
safi,twn,2016,2,F,2.97056810403833,0.818,8.493440013166651,10.40053853139301,-0.18641069162250665,14
sevi,tws,2016,2,F,2.855578370978782,0.87,8.182340097134436,12.294169676510363,-0.22627131248660348,4
renl,gn,2016,2,M,2.8035592060232717,0.263,8.734846387762756,13.826466389347532,-0.4352759127410107,11
petr,twn,2016,2,F,5.8699520876112254,0.091,9.027290465520574,14.614417646983965,-0.09190181824731788,13
pam,twn,2016,2,F,2.940451745379877,0.091,8.239681849681988,14.151962457720437,-0.38341845120399726,11
